customer_id,customer_name,customer_email,signup_date
833f114b-3a9b-4961-bdc3-1a7e9f932b32,Terri Callahan,parker99@example.org,2024-04-11
b4ffb743-99a5-422c-baed-1ebadab655e9,Tammy Payne,bhampton@example.org,2024-05-11
663fee24-143b-4320-879e-e88a6fd5adbc,Tracy Roberts,angela70@example.com,2024-02-23
a485c1c9-a2d8-420b-b857-b21ff9dd3c3f,Patricia Curtis,olara@example.com,2023-05-16
d92611c6-b22e-4701-97cc-659ecabafbc5,Yolanda Phelps,nicholsbrittany@example.org,2023-01-09
933252b9-a718-4a74-a81b-37bd4ffc0965,Zachary Harris,henrycardenas@example.com,2022-08-17
dd3ae9e4-b1a5-42f8-ab11-ccacfa999e83,Mrs. Kathryn Allen,mbeltran@example.com,2023-02-13
d96fbd40-1ea3-4f40-90dd-0238bbe4054d,Lori Doyle,dclay@example.org,2023-02-09
d1a00c95-b09a-4bc4-8fb0-b47f2ceca68a,Michael Wong,shawn44@example.net,2023-07-06
4d3af748-766f-4448-9645-94de2195441d,Matthew Mcdaniel,walkerrobin@example.com,2024-02-06
893dd7c2-2892-43ea-878f-98ff2af3ddf2,Sarah Myers,davispatricia@example.com,2023-07-19
1df79bbf-8b9e-42f1-b7b4-0046e8e6a57d,Julia Schroeder,matthewhunter@example.com,2024-06-24
99942bdd-cd9b-4bf1-8df4-1080183ba53f,Brent Herring,kathrynlucero@example.com,2023-07-26
607463f1-73a0-4f7b-aeb9-fc358b6ab9a9,Sara Rodriguez,destiny21@example.net,2023-05-26
413bdfff-6a87-42b1-8543-7fc128929867,James Cruz,xkeller@example.net,2024-06-02
1d2bade7-649f-463c-9542-e63e7be6c759,Jessica Price,knappjennifer@example.org,2022-07-22
bfa8f12f-b25f-4703-9c27-584c0b3e9858,Joshua Mcintyre,pettytracy@example.net,2023-10-15
b8788e28-90fc-4a1b-aacc-236c44b09f44,Mary Swanson,jose71@example.net,2024-01-05
d28a3241-c5c0-4b41-afbb-28d05d1fa616,Rachel Wallace,copelandfrederick@example.org,2023-03-07
7048f87b-6f3d-4c1f-9e80-4456201688da,Rachel Carr,bjimenez@example.com,2022-09-30
3c7ee3de-5f02-4fa2-903d-9a818a0a45db,John Morgan,vincent69@example.org,2024-06-12
77429103-faff-4c0d-9e94-a88c91027dfb,Melissa Smith,zknight@example.org,2024-06-02
960203f5-8f42-4f4c-a3b4-e7b3614bc49b,Sabrina Walker,pwatts@example.com,2023-05-21
b8ad956f-9e4c-406d-9bbd-c5189815742e,Erik Grant,williamsalexandra@example.com,2024-03-10
c7381004-0763-43e0-9ffd-f99069de8ed8,Jennifer Thomas,henry09@example.org,2023-12-13
1b552ef5-4cc2-4679-81e6-08461477f1c8,Anna Torres,sherrybuck@example.net,2023-06-06
ddd4b965-4898-4793-b54a-a9aea47a57e3,Aaron Romero,jamesbrown@example.org,2023-01-18
44de80fc-d9fd-4837-8036-44aa380d97d5,Jamie Mullen,trice@example.net,2022-08-23
beda99eb-de5b-4078-9a5e-b6a600f3f083,Timothy Fuller,pmartin@example.com,2022-08-26
570b21a1-758d-4cc3-8b99-02e9bef9d939,John Arnold,joannejones@example.net,2023-09-28
cfd7b009-e1c6-439c-be34-6e51c33da6a6,Andrew Martin,johnsonjoseph@example.net,2022-09-25
2758268f-cfba-4128-9f62-1ca781b2f860,Julie Garcia,kimberly30@example.net,2022-11-21
df79dd8f-e08a-4c41-b57a-56da65987aab,Linda Good,hlee@example.org,2023-10-16
a0fbbe2a-a7cb-4976-b018-4eacc5c0c63c,Lisa Powell,farmermary@example.com,2023-03-06
1bca8bb6-d580-4f4a-b319-9174247218a0,Kelly Bennett,gilberterica@example.com,2023-06-25
39bec912-9012-431d-b061-94c2331189b6,Tyler Miller,ashleycampbell@example.com,2023-06-27
2c6fa8c4-5790-4f99-bad8-5bba2d4b9726,Aaron Hill,anthonywalters@example.org,2023-08-21
